accession,host
FJ492060,08-Oct-2004
FJ492061,13-Oct-2004
FJ492062,13-Oct-2004
FJ492063,13-Oct-2004
FJ492064,13-Oct-2004
FJ492065,13-Oct-2004
FJ492066,13-Oct-2004
FJ492067,13-Oct-2004
FJ492069,13-Oct-2004
FJ492070,13-Oct-2004
FJ492071,13-Oct-2004
FJ492072,13-Oct-2004
FJ492076,03-Nov-2004
FJ492078,03-Nov-2004
FJ492079,03-Nov-2004
FJ492080,03-Nov-2004
FJ492081,03-Nov-2004
FJ492082,03-Nov-2004
FJ492084,03-Nov-2004
FJ492085,04-Nov-2004
FJ492086,04-Nov-2004
FJ492088,04-Nov-2004
FJ492090,05-Nov-2004
FJ492091,05-Nov-2004
FJ492092,05-Nov-2004
FJ492094,05-Nov-2004
FJ492096,05-Nov-2004
FJ492111,07-Oct-2005
FJ492112,03-Nov-2005
FJ492114,03-Nov-2005
FJ492115,25-Oct-2005
FJ492116,24-Oct-2005
FJ492117,24-Oct-2005
FJ492118,24-Oct-2005
FJ492119,24-Oct-2005
FJ492120,19-Oct-2005
FJ492121,19-Oct-2005
FJ492125,26-Oct-2005
FJ492127,25-Oct-2005
FJ492128,25-Oct-2005
FJ492129,24-Oct-2005
FJ492130,24-Oct-2005
FJ492132,19-Oct-2005
FJ492134,02-Jun-2006
FJ492135,02-Jun-2006
FJ492140,22-Jun-2006
FJ492143,18-Oct-2006
FJ492147,11-Sep-2006
FJ492149,11-Sep-2006
FJ492159,06-Sep-2006
FJ492075,14-Oct-2004
FJ492083,04-Nov-2004
FJ492087,04-Nov-2004
FJ492089,04-Nov-2004
FJ492093,05-Nov-2004
FJ492095,05-Nov-2004
FJ492113,03-Nov-2005
FJ492122,03-Nov-2005
FJ492123,03-Nov-2005
FJ492124,03-Nov-2005
FJ492131,19-Oct-2005
FJ492133,25-Oct-2005
FJ492136,22-Jun-2006
FJ492137,22-Jun-2006
FJ492138,22-Jun-2006
FJ492139,22-Jun-2006
FJ492141,22-Jun-2006
FJ492142,18-Oct-2006
FJ492144,06-Sep-2006
FJ492145,11-Sep-2006
FJ492146,11-Sep-2006
FJ492148,11-Sep-2006
FJ492150,11-Sep-2006
FJ492151,11-Sep-2006
FJ492152,11-Sep-2006
FJ492153,11-Sep-2006
FJ492154,11-Sep-2006
FJ492155,11-Sep-2006
FJ492156,11-Sep-2006
FJ492157,18-Sep-2006
FJ492160,18-Oct-2006
FJ492161,18-Oct-2006
FJ492162,18-Oct-2006
FJ492163,18-Oct-2006
FJ492164,18-Oct-2006
FJ492165,18-Oct-2006
GU811660,06-Sep-2006
GU811661,06-Sep-2006
GU811662,06-Sep-2006
GU811663,06-Sep-2006
GU811664,06-Sep-2006
GU811665,11-Sep-2006
GU811666,11-Sep-2006
GU811667,11-Sep-2006
GU811668,11-Sep-2006
GU811669,11-Sep-2006
GU811670,11-Sep-2006
GU811671,11-Sep-2006
GU811672,18-Sep-2006
GU811673,18-Sep-2006
GU811674,18-Sep-2006
GU811675,18-Sep-2006
GU811676,18-Oct-2006
GU811677,18-Oct-2006
GU811678,18-Oct-2006
GU811679,18-Oct-2006
GU811680,18-Oct-2006
GU811681,18-Oct-2006
GU811682,18-Oct-2006
GU811683,18-Oct-2006
GU811684,18-Oct-2006
GU811685,18-Oct-2006
GU811686,18-Oct-2006
GU811687,18-Oct-2006
GU811688,18-Oct-2006
GU811689,18-Oct-2006
HM597131,30-Oct-2007
HM597132,06-Jan-2009
JN254787,2011
JN254788,2011
JQ410053,Apr-2007
JX294316,15-Jan-2009
JX294318,11-Jul-2007
JX294319,12-Jul-2007
JX294321,05-Jun-2008
JX294323,05-Jun-2008
JX294327,18-Jun-2008
JX294328,09-Jul-2008
JX294329,10-Jul-2008
JX294332,09-Jul-2008
JX294333,09-Jul-2008
JX294334,10-Jul-2008
JX294335,10-Jul-2008
JX294338,24-Jul-2008
JX294340,10-Jul-2008
JX294341,08-Jul-2008
JX294343,03-Sep-2008
JX294344,20-Aug-2008
JX294346,09-Sep-2008
JX294347,15-Jan-2009
JX294348,09-Jul-2008
JX631156,09-Jul-2008
JX631157,09-Jul-2008
JX631158,31-Jul-2008
JX631159,31-Jul-2008
JX631160,31-Jul-2008
JX631161,31-Jul-2008
JX631162,06-Sep-2007
JX631163,06-Sep-2007
JX631164,06-Sep-2007
JX631165,06-Sep-2007
