accession,host
AF067641,bentgrass
AF308622,Phaseolus vulgaris aboragineus
AF308621,Phaseolus vulgaris aboragineus
AF308623,Phaseolus vulgaris cv. PC-50
AF308626,Phaseolus vulgaris cv. PC-50
AF308627,Phaseolus vulgaris cv. Dorado
AF308628,Phaseolus vulgaris cv. Barilles
AF308629,Phaseolus vulgaris cv. Arroyo Loroo
AF308631,Phaseolus vulgaris
AF354114,soybean
AF354115,soybean
AY241672,Fagus sylvatica
AY241673,Fagus sylvatica
AY241674,Fagus sylvatica
AY545999,couch grass
DQ355130,potato
DQ355131,potato
DQ355132,potato
DQ355133,potato
DQ355134,potato
DQ355135,potato
DQ355137,potato
DQ355139,potato
DQ452098,Phaseolus vulgaris aborigineus
DQ452099,Phaseolus vulgaris cv. unknown
DQ452100,Phaseolus vulgaris cv. Cargamanto
DQ452101,Phaseolus vulgaris cv. Blanco Panamito
DQ452102,Phaseolus vulgaris cv. Cargamanto
DQ452103,Phaseolus vulgaris cv. Cargamanto
DQ452104,Phaseolus vulgaris aborigineus
DQ452105,Phaseolus vulgaris aborigineus
DQ452106,Phaseolus vulgaris aborigineus
DQ452107,Phaseolus vulgaris aborigineus
DQ452108,Phaseolus vulgaris cv. Dorado
DQ452109,Phaseolus vulgaris cv. Pompadour
DQ452110,Phaseolus vulgaris cv. Pompadour
DQ452111,Phaseolus vulgaris cv. Jima
DQ452112,Phaseolus vulgaris cv. Jima
DQ452113,Phaseolus vulgaris cv. Jima
DQ452114,Phaseolus vulgaris cv. Jima
DQ452115,Phaseolus vulgaris cv. PC-50
DQ452116,Phaseolus vulgaris cv. Jima
DQ452117,Phaseolus vulgaris aborigineus
DQ452118,Phaseolus vulgaris aborigineus
DQ452119,Phaseolus vulgaris cv. PC-50
DQ452120,Phaseolus vulgaris cv. PC-50
DQ452121,Phaseolus vulgaris cv. PC-50
DQ452122,Phaseolus vulgaris cv. MUS 181
DQ452123,Phaseolus vulgaris cv. PC-50
DQ452124,Phaseolus vulgaris cv. PC-50
DQ452125,Phaseolus vulgaris cv. PC-50
DQ452126,Phaseolus vulgaris cv. PC-50
DQ452127,Phaseolus vulgaris cv. MUS 181
DQ452128,Phaseolus vulgaris cv. MUS 181
DQ452129,Phaseolus vulgaris cv. PC-50
DQ452130,Phaseolus vulgaris cv. PC-50
DQ452131,Phaseolus vulgaris cv. PC-50
EF017212,Solanum tuberosum
EU152868,rice
EU152870,rice
EU152871,rice
EU152872,rice
EU152873,rice
EU152874,rice
EU513130,cauliflower
EU513131,cauliflower
EU513132,cauliflower
EU513133,cauliflower
EU513134,cauliflower
EU513135,cauliflower
EU513136,cauliflower
EU513137,cauliflower
EU513138,cauliflower
EU513139,cauliflower
EU513140,cauliflower
EU513141,cauliflower
EU513142,cauliflower
EU513143,cauliflower
EU513144,cauliflower
EU513145,cauliflower
EU513146,cauliflower
EU513147,cauliflower
EU513148,cauliflower
EU513149,cauliflower
EU513150,cauliflower
EU513151,cauliflower
EU513152,cauliflower
EU513153,cauliflower
EU513154,cauliflower
EU513155,cauliflower
EU513156,cauliflower
EU513157,cauliflower
EU513158,cauliflower
EU513159,cauliflower
EU513160,cauliflower
EU513161,cauliflower
EU730789,lupin
EU730790,lupin
EU730791,lupin
EU730792,lupin
EU730793,lupin
EU730794,lupin
EU730795,lupin
EU730796,lupin
EU730797,lupin
EU730798,lupin
EU730799,lupin
EU730802,lupin
EU730803,lupin
EU730804,lupin
EU730805,lupin
EU730806,lupin
EU730807,lupin
EU730808,lupin
EU730809,lupin
EU730810,lupin
EU730811,lupin
EU730812,lupin
EU730813,lupin
EU730815,lupin
EU730816,lupin
EU730817,lupin
EU730818,lupin
EU730819,lupin
EU730820,field pea
EU730821,field pea
EU730822,chinese milkvetch
EU730823,chinese milkvetch
EU730824,echinacea
EU730825,echinacea
EU730826,Alstroemeria
EU730827,pea
EU730828,pea
EU730829,dill
EU730830,dill
EU730831,bean
EU730834,cauliflower
EU730835,cauliflower
EU730836,chickpea
EU730837,lupin
EU730838,lupin
EU730839,lupin
EU730840,lupin
EU730841,lupin
EU730842,lupin
EU730843,lupin
EU730844,lupin
EU730845,lupin
EU730846,lupin
EU730847,lupin
EU730848,lupin
EU730849,lupin
EU730850,lupin
EU730851,lupin
EU730853,lupin
EU730854,lupin
EU730855,lupin
EU730856,lupin
EU730857,lupin
EU730858,lupin
EU730861,lupin
EU730863,lupin
EU730864,lupin
EU730866,lupin
EU730867,lupin
EU730868,lupin
FJ480862,Gossypium hirsutum
FJ480863,Gossypium hirsutum
FJ480864,Gossypium hirsutum
FJ480865,Gossypium hirsutum
FJ480866,Gossypium hirsutum
FJ480867,Gossypium hirsutum
FJ480868,Gossypium hirsutum
FJ480869,Gossypium hirsutum
FJ480870,Gossypium hirsutum
FJ480871,Gossypium hirsutum
FJ480872,Gossypium hirsutum
FJ480873,Gossypium hirsutum
FJ480874,Gossypium hirsutum
FJ480875,Gossypium hirsutum
FJ480876,Gossypium hirsutum
FJ480877,Gossypium hirsutum
FJ480878,Gossypium hirsutum
FJ480879,Gossypium hirsutum
FJ480880,Gossypium hirsutum
FJ480881,Gossypium hirsutum
FJ480882,Gossypium hirsutum
FJ480883,Gossypium hirsutum
FJ480884,Gossypium hirsutum
FJ480885,Gossypium hirsutum
FJ480886,Gossypium hirsutum
FJ480887,Gossypium hirsutum
FJ480888,Gossypium hirsutum
FJ480889,Gossypium hirsutum
FJ480890,Gossypium hirsutum
FJ480898,Nicotiana tabacum
FJ480899,Nicotiana tabacum
FJ480900,Nicotiana tabacum
FJ480901,Nicotiana tabacum
FJ480902,Nicotiana tabacum
FJ480903,Nicotiana tabacum
FJ480904,Nicotiana tabacum
FJ480905,Nicotiana tabacum
FJ480906,Nicotiana tabacum
FJ480907,Nicotiana tabacum
FJ480908,Nicotiana tabacum
FJ480909,Nicotiana tabacum
FJ480910,Nicotiana tabacum
FJ480911,Nicotiana tabacum
FJ480912,Nicotiana tabacum
FJ480913,Nicotiana tabacum
FJ480914,Nicotiana tabacum
FJ480915,Nicotiana tabacum
FJ480916,Nicotiana tabacum
FJ480917,Nicotiana tabacum
FJ480918,Nicotiana tabacum
FJ480919,Nicotiana tabacum
FJ480920,Nicotiana tabacum
FJ480921,Nicotiana tabacum
FJ480922,Nicotiana tabacum
FJ480923,Nicotiana tabacum
FJ480924,Nicotiana tabacum
FJ480925,Nicotiana tabacum
FJ480926,Nicotiana tabacum
FJ480927,Nicotiana tabacum
FJ480928,Nicotiana tabacum
FJ480929,Nicotiana tabacum
FJ480930,Nicotiana tabacum
FJ480931,Nicotiana tabacum
FJ492060,Beta vulgaris
FJ492061,Beta vulgaris
FJ492062,Beta vulgaris
FJ492063,Beta vulgaris
FJ492064,Beta vulgaris
FJ492065,Beta vulgaris
FJ492066,Beta vulgaris
FJ492067,Beta vulgaris
FJ492069,Beta vulgaris
FJ492070,Beta vulgaris
FJ492071,Beta vulgaris
FJ492072,Beta vulgaris
FJ492076,Beta vulgaris
FJ492078,Beta vulgaris
FJ492079,Beta vulgaris
FJ492080,Beta vulgaris
FJ492081,Beta vulgaris
FJ492082,Beta vulgaris
FJ492084,Beta vulgaris
FJ492085,Beta vulgaris
FJ492086,Beta vulgaris
FJ492088,Beta vulgaris
FJ492090,Beta vulgaris
FJ492091,Beta vulgaris
FJ492092,Beta vulgaris
FJ492094,Beta vulgaris
FJ492096,Beta vulgaris
FJ492111,Beta vulgaris
FJ492112,Beta vulgaris
FJ492114,Beta vulgaris
FJ492115,Beta vulgaris
FJ492116,Beta vulgaris
FJ492117,Beta vulgaris
FJ492118,Beta vulgaris
FJ492119,Beta vulgaris
FJ492120,Beta vulgaris
FJ492121,Beta vulgaris
FJ492125,Beta vulgaris
FJ492127,Beta vulgaris
FJ492128,Beta vulgaris
FJ492129,Beta vulgaris
FJ492130,Beta vulgaris
FJ492132,Beta vulgaris
FJ492134,Beta vulgaris
FJ492135,Beta vulgaris
FJ492140,Beta vulgaris
FJ492143,Beta vulgaris
FJ492147,Beta vulgaris
FJ492149,Beta vulgaris
FJ492159,Beta vulgaris
FJ435094,potato
GQ118174,Oryza sativa
GQ118175,Oryza sativa
GQ118176,Oryza sativa
GQ118177,Oryza sativa
GQ118178,Oryza sativa
GQ118179,Oryza sativa
GQ118180,Oryza sativa
GQ118181,Oryza sativa
GQ118182,Oryza sativa
GQ118183,Oryza sativa
GQ118184,Oryza sativa
GQ118185,Oryza sativa
GQ118186,Oryza sativa
GQ118187,Oryza sativa
GQ118188,Oryza sativa
GQ118189,Oryza sativa
GQ118190,Oryza sativa
GQ118191,Oryza sativa
GQ118192,Oryza sativa
GQ118193,Oryza sativa
GQ118194,Oryza sativa
GQ118199,Oryza sativa
GQ118200,Oryza sativa
GQ118201,Oryza sativa
GQ118202,Oryza sativa
GQ118203,Oryza sativa
GQ118204,Oryza sativa
GQ118205,Oryza sativa
GQ118206,Oryza sativa
GQ118207,Oryza sativa
GQ118208,Oryza sativa
GQ118209,Oryza sativa
GQ118210,Oryza sativa
GQ118211,Oryza sativa
GQ118212,Oryza sativa
GQ118213,Oryza sativa
GQ118214,Oryza sativa
GQ118215,Oryza sativa
GQ118216,Oryza sativa
GQ118217,Oryza sativa
GQ118218,Oryza sativa
