accession,location
AF354114,USA
AF354115,USA
AY545999,United Kingdom
DQ355130,United Kingdom
DQ355131,United Kingdom
DQ355132,United Kingdom
DQ355133,United Kingdom
DQ355134,United Kingdom
DQ355135,United Kingdom
DQ355137,United Kingdom
DQ355139,United Kingdom
EF017212,Italy
EU152868,"China: Guangxi, Yulin"
EU152869,"China: Guangxi, Nanning"
EU152870,"China: Guangxi, Beihai"
EU152871,"China: Guangxi, Guigang"
EU152872,"China: Guangxi, Hechi"
EU152873,"China: Guangxi, Guilin"
EU152874,"China: Guangxi, Wuzhou"
EU513130,Belgium
EU513131,Belgium
EU513132,Belgium
EU513133,Belgium
EU513134,Belgium
EU513135,Belgium
EU513136,Belgium
EU513137,Belgium
EU513138,Belgium
EU513139,Belgium
EU513140,Belgium
EU513141,Belgium
EU513142,Belgium
EU513143,Belgium
EU513144,Belgium
EU513145,Belgium
EU513146,Belgium
EU513147,Belgium
EU513148,Belgium
EU513149,Belgium
EU513150,Belgium
EU513151,Belgium
EU513152,Belgium
EU513153,Belgium
EU513154,Belgium
EU513155,Belgium
EU513156,Belgium
EU513157,Belgium
EU513158,Belgium
EU513159,Belgium
EU513160,Belgium
EU513161,Belgium
EU730789,"Canada: Devon, Alberta"
EU730790,"Canada: Devon, Alberta"
EU730791,"Canada: Edmonton, Alberta"
EU730792,"Canada: Edmonton, Alberta"
EU730793,"Canada: Edmonton, Alberta"
EU730794,"Canada: Edmonton, Alberta"
EU730795,"Canada: Edmonton, Alberta"
EU730796,"Canada: Edmonton, Alberta"
EU730797,"Canada: Edmonton, Alberta"
EU730798,"Canada: Edmonton, Alberta"
EU730799,"Canada: Edmonton, Alberta"
EU730802,"Canada: Edmonton, Alberta"
EU730803,"Canada: Edmonton, Alberta"
EU730804,"Canada: Edmonton, Alberta"
EU730805,"Canada: Edmonton, Alberta"
EU730806,"Canada: Edmonton, Alberta"
EU730807,"Canada: Edmonton, Alberta"
EU730808,"Canada: Edmonton, Alberta"
EU730809,"Canada: Edmonton, Alberta"
EU730810,"Canada: Edmonton, Alberta"
EU730811,"Canada: Ellerslie, Alberta"
EU730812,"Canada: Ellerslie, Alberta"
EU730813,"Canada: Tofield, Alberta"
EU730815,"Canada: Tofield, Alberta"
EU730816,"Canada: Tofield, Alberta"
EU730817,"Canada: Tofield, Alberta"
EU730818,"Canada: Tofield, Alberta"
EU730819,"Canada: Tofield, Alberta"
EU730820,"Canada: Brooks, Alberta"
EU730821,"Canada: Brooks, Alberta"
EU730822,"Canada: Brooks, Alberta"
EU730823,"Canada: Brooks, Alberta"
EU730824,"Canada: Stettler, Alberta"
EU730825,"Canada: Stettler, Alberta"
EU730826,"Canada: Spruce Groove, Alberta"
EU730827,"Canada: Namao, Alberta"
EU730828,"Canada: Namao, Alberta"
EU730829,"Canada: Bow Island, Alberta"
EU730830,"Canada: Bow Island, Alberta"
EU730831,"Canada: Bow Island, Alberta"
EU730834,"Canada: Leduc, Alberta"
EU730835,"Canada: Leduc, Alberta"
EU730836,"Canada: Brooks, Alberta"
EU730837,"Canada: Rowley, Alberta"
EU730838,"Canada: Rowley, Alberta"
EU730839,"Canada: Rowley, Alberta"
EU730840,"Canada: Rowley, Alberta"
EU730841,"Canada: Rowley, Alberta"
EU730842,"Canada: Rowley, Alberta"
EU730843,"Canada: Rowley, Alberta"
EU730844,"Canada: Rowley, Alberta"
EU730845,"Canada: Rowley, Alberta"
EU730846,"Canada: Rowley, Alberta"
EU730847,"Canada: Rowley, Alberta"
EU730848,"Canada: Rowley, Alberta"
EU730849,"Canada: Rowley, Alberta"
EU730850,"Canada: Rowley, Alberta"
EU730851,"Canada: Rowley, Alberta"
EU730853,"Canada: Rowley, Alberta"
EU730854,"Canada: Viking, Alberta"
EU730855,"Canada: Viking, Alberta"
EU730856,"Canada: Viking, Alberta"
EU730857,"Canada: Three Hills, Alberta"
EU730858,"Canada: Namao, Alberta"
EU730861,"Canada: Barrhead, Alberta"
EU730863,"Canada: Barrhead, Alberta"
EU730864,"Canada: Barrhead, Alberta"
EU730866,"Canada: Barrhead, Alberta"
EU730867,"Canada: Edmonton, Alberta"
EU730868,"Canada: Edmonton, Alberta"
FJ480862,Greece: Imathia
FJ480863,Greece: Serres
FJ480864,Greece: Larissa
FJ480865,Greece: Larissa
FJ480866,Greece: Larissa
FJ480867,Greece: Pella
FJ480868,Greece: Larissa
FJ480869,Greece: Serres
FJ480870,Greece: Imathia
FJ480871,Greece: Imathia
FJ480872,Greece: Imathia
FJ480873,Greece: Larissa
FJ480874,Greece: Larissa
FJ480875,Greece: Larissa
FJ480876,Greece: Serres
FJ480877,Greece: Imathia
FJ480878,Greece: Imathia
FJ480879,Greece: Imathia
FJ480880,Greece: Drama
FJ480881,Greece: Larissa
FJ480882,Greece: Larissa
FJ480883,Greece: Serres
FJ480884,Greece: Drama
FJ480885,Greece: Imathia
FJ480886,Greece: Imathia
FJ480887,Greece: Imathia
FJ480888,Greece: Imathia
FJ480889,Greece: Serres
FJ480890,Greece: Larissa
FJ480898,Greece: Serres
FJ480899,Greece: Serres
FJ480900,Greece: Serres
FJ480901,Greece: Serres
FJ480902,Greece: Serres
FJ480903,Greece: Serres
FJ480904,Greece: Serres
FJ480905,Greece: Serres
FJ480906,Greece: Serres
FJ480907,Greece: Serres
FJ480908,Greece: Serres
