accession,strain
AY684917,FSR-052
AF067641,Rs922
AF308622,AG-2-2 WB
AF308621,AG-2-2 WB
AF308623,AG-2-2 WB
AF308626,AG-1-IF
AF308627,AG-1-IF
AF308628,AG-1-IE
AF308629,AG-1-IE
AF308631,AG-1-IA
AF354114,AG11
AF354115,AG11
AY241672,AG 2-1
AY241673,AG 2-1
AY241674,AG 2-1
AY545999,AG5
DQ355130,AG2-1
DQ355131,AG2-1
DQ355132,AG2-1
DQ355133,AG2-1
DQ355134,AG2-1
DQ355135,AG2-1
DQ355137,AG2-1
DQ355139,AG5
DQ447859,AG-1-IA
DQ447860,AG-1-IE
DQ447861,AG-1-IE
DQ447863,AG-1-IE
DQ447864,AG-1-IE
DQ447866,AG-1-IE
DQ447867,AG-1-IE
DQ447868,AG-1-IE
DQ447869,AG-1-IE
DQ447870,AG-1-IE
DQ447871,AG-1-IE
DQ447872,AG-1-IE
DQ447873,AG-1-IE
DQ447874,AG-1-IE
DQ447875,AG-1-IE
DQ447876,AG-1-IE
DQ447877,AG-1-IE
DQ447878,AG-1-IF
DQ447879,AG-1-IF
DQ447880,AG-1-IF
DQ447881,AG-1-IF
DQ447882,AG-1-IF
DQ447883,AG-1-IF
DQ447884,AG-1-IF
DQ452098,AG-2-2 WB
DQ452099,AG-2-2 WB
DQ452100,AG-2-2 WB
DQ452101,AG-2-2 WB
DQ452102,AG-2-2 WB
DQ452103,AG-2-2 WB
DQ452104,AG-2-2 WB
DQ452105,AG-2-2 WB
DQ452106,AG-2-2 WB
DQ452107,AG-2-2 WB
DQ452108,AG-2-2 WB
DQ452109,AG-2-2 WB
DQ452110,AG-2-2 WB
DQ452111,AG-2-2 WB
DQ452112,AG-2-2 WB
DQ452113,AG-2-2 WB
DQ452114,AG-2-2 WB
DQ452115,AG-2-2 WB
DQ452116,AG-2-2 WB
DQ452117,AG-2-2 WB
DQ452118,AG-2-2 WB
DQ452119,AG-2-2 WB
DQ452120,AG-2-2 WB
DQ452121,AG-2-2 WB
DQ452122,AG-2-2 WB
DQ452123,AG-2-2 WB
DQ452124,AG-2-2 WB
DQ452125,AG-2-2 WB
DQ452126,AG-2-2 WB
DQ452127,AG-2-2 WB
DQ452128,AG-2-2 WB
DQ452129,AG-2-2 WB
DQ452130,AG-2-2 WB
DQ452131,AG-2-2 WB
DQ913010,AG-2-1
DQ913011,AG-3
DQ913012,AG-3
DQ913013,AG-3
DQ913014,AG-3
DQ913015,AG-3
DQ913016,AG-3
DQ913017,AG-3
DQ913018,AG-3
DQ913019,AG-3
DQ913020,AG-3
DQ913021,AG-3
DQ913022,AG-3
DQ913023,AG-3
DQ913024,AG-3
DQ913025,AG-3
DQ913026,AG-3
DQ913027,AG-3
DQ913028,AG-3
DQ913029,AG-3
DQ913030,AG-3
DQ913031,AG-3
DQ913032,AG-3
DQ913033,AG-3
DQ913034,AG-5
DQ913036,AG-2-1
DQ913037,AG-2-1
DQ913038,AG-3
DQ913039,AG-3
DQ913040,AG-3
DQ913041,AG-3
DQ913042,AG-3
DQ913043,AG-3
DQ913044,AG-3
DQ913045,AG-3
DQ913046,AG-3
DQ913047,AG-3
DQ913048,AG-3
DQ913049,AG-3
DQ913050,AG-3
DQ913051,AG-3
DQ913052,AG-3
DQ913053,AG-3
DQ913054,AG-3
DQ913055,AG-3
DQ913056,AG-3
DQ913057,AG-3
DQ913058,AG-3
DQ913059,AG-3
DQ913060,AG-3
DQ913061,AG-3
DQ913062,AG-3
DQ913063,AG-3
DQ913064,AG-3
DQ913065,AG-3
DQ913066,AG-3
DQ913067,AG-3
DQ913068,AG-3
DQ913069,AG-3
DQ913070,AG-3
DQ913071,AG-3
DQ913072,AG-3
DQ913073,AG-3
DQ913074,AG-3
DQ913075,AG-3
DQ913076,AG-3
DQ913077,AG-4
EF026574,AG-3
EF026575,AG-3
EF026576,AG-3
EF026577,AG-3
EF026578,AG-3
EF429316,AG1-IA
EF532825,AG-3
EF532826,AG-4
EF532827,AG-5
EF532828,AG-2-1
EU513130,AG 2-1
EU513131,AG 2-1
EU513132,AG 2-1
EU513133,AG 2-1
EU513134,AG 2-1
EU513135,AG 2-1
EU513136,AG 2-1
EU513137,AG 2-1
EU513138,AG 2-1
EU513139,AG 2-1
EU513140,AG 2-1
EU513141,AG 2-1
EU513142,AG 2-1
EU513143,AG 2-1
EU513144,AG 2-1
EU513145,AG 2-1
EU513146,AG 2-1
EU513147,AG 2-1
EU513148,AG 2-1
EU513149,AG 2-1
EU513150,AG 2-1
EU513151,AG 2-1
EU513152,AG 2-1
EU513153,AG 2-1
EU513154,AG 2-1
EU513155,AG 2-1
EU513156,AG 2-1
EU513157,AG 2-1
EU513158,AG 2-1
EU513159,AG 2-1
EU513160,AG 2-1
EU513161,AG 2-1
EU730789,R01
EU730790,R02
EU730791,R04
EU730792,R05
EU730793,R09
EU730794,R14
EU730795,R17
EU730796,R18
EU730797,R20
EU730798,R21
EU730799,R23
EU730802,R28
EU730803,R29
EU730804,R30
EU730805,R31
EU730806,R32
EU730807,R33
EU730808,R35
EU730809,R37
EU730810,R38
EU730811,R40
EU730812,R41
EU730813,R42
EU730815,R44
EU730816,R45
EU730817,R46
EU730818,R47
EU730819,R48
EU730820,R71
EU730821,R73
EU730822,R81
EU730823,R83
EU730824,R86
EU730825,R87
EU730826,R90
EU730827,R92
EU730828,R93
EU730829,R98
EU730830,R100
EU730831,R104
EU730834,R117
EU730835,R118
EU730836,R176
EU730837,R177
EU730838,R178
EU730839,R179
EU730840,R180
EU730841,R181
EU730842,R182
EU730843,R183
EU730844,R184
EU730845,R185
EU730846,R186
EU730847,R187
EU730848,R188
EU730849,R189
EU730850,R190
EU730851,R191
EU730853,R193
EU730854,R194
EU730855,R195
EU730856,R196
EU730857,R197
EU730858,R198
EU730861,R201
EU730863,R203
EU730864,R204
EU730866,R206
EU730867,R207
EU730868,R208
FJ534555,AF
FJ534556,HF
FJ492060,AG-4 HG-II
FJ492061,AG-4 HG-II
FJ492062,AG-4 HG-II
FJ492063,AG-4 HG-II
FJ492064,AG-4 HG-II
FJ492065,AG-4 HG-II
FJ492066,AG-4 HG-II
FJ492067,AG-4 HG-II
FJ492069,AG-4 HG-II
FJ492070,AG-4 HG-II
FJ492071,AG-4 HG-II
FJ492072,AG-4 HG-II
FJ492076,AG-4 HG-II
FJ492078,AG-4 HG-II
FJ492079,AG-4 HG-I
FJ492080,AG-4 HG-II
FJ492081,AG-2-2 IIIB
FJ492082,AG-4 HG-II
FJ492084,AG-4 HG-II
FJ492085,AG-4 HG-II
FJ492086,AG-4 HG-II
FJ492088,AG-4 HG-II
FJ492090,AG-4 HG-I
FJ492091,AG-4 HG-I
FJ492092,AG-4 HG-II
FJ492094,AG-4 HG-II
FJ492096,AG-4 HG-I
FJ492111,AG-4 HG-II
FJ492112,AG-2-2 IIIB
FJ492114,AG-2-2 IIIB
FJ492115,AG-4 HG-II
FJ492116,AG-4 HG-II
FJ492117,AG-4 HG-II
FJ492118,AG-4 HG-II
FJ492119,AG-4 HG-II
FJ492120,AG-4 HG-II
FJ492121,AG-2-2 IIIB
FJ492125,AG-4 HG-II
FJ492127,AG-2-2 IIIB
FJ492128,AG-2-2 IIIB
FJ492129,AG-4 HG-II
FJ492130,AG-4 HG-II
FJ492132,AG-4 HG-II
FJ492134,AG-4 HG-II
FJ492135,AG-4 HG-II
FJ492140,AG-2-2 IIIB
FJ492143,AG-2-2 IIIB
FJ492147,AG-2-2 IIIB
FJ492149,AG-2-2 IIIB
FJ492159,AG-2-2 IIIB
FJ435094,CSL1833; CBS 363.82; BBA 63010; AG-3
FJ435095,CSL1936; ATCC 76167; 03RUU; AG-3
FJ492075,AG-2-2 IIIB
FJ492083,AG-2-2 IV
FJ492087,AG-4 HG-II
FJ492089,AG-2-2 IIIB
FJ492093,AG-4 HG-II
FJ492095,AG-2-2 IIIB
FJ492113,AG-2-2 IIIB
FJ492122,AG-2-2 IIIB
FJ492123,AG-2-2 IIIB
FJ492124,AG-2-2 IIIB
FJ492131,AG-2-2 IIIB
FJ492133,AG-2-2 IIIB
FJ492136,AG-2-2 IIIB
FJ492137,AG-2-2 IIIB
FJ492138,AG-2-2 IIIB
FJ492139,AG-2-2 IIIB
FJ492141,AG-2-2 IIIB
FJ492142,AG-2-2 IIIB
FJ492144,AG-2-2 IIIB
FJ492145,AG-2-2 IIIB
FJ492146,AG-2-2 IIIB
FJ492148,AG-2-2 IIIB
FJ492150,AG-2-2 IIIB
FJ492151,AG-2-2 IIIB
FJ492152,AG-2-2 IIIB
FJ492153,AG-2-2 IIIB
FJ492154,AG-2-2 IIIB
FJ492155,AG-2-2 IIIB
FJ492156,AG-2-2 IIIB
FJ492157,AG-2-2 IIIB
