burnIn   <= 0,   maxState  = 150000200
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-14262.7343	139.775	-14263.7535	-14532.9792	-13991.9328	491.4721	-14361.1624	-14169.4731	
prior	-7004.0642	139.6302	-7004.602	-7270.936	-6731.1273	487.2766	-7098.1061	-6906.0243	
likelihood	-7258.6701	18.0668	-7259.0238	-7293.4194	-7222.3802	1365.666	-7271.6904	-7247.5865	
treeModel.rootHeight	146.3903	45.538	139.3204	70.6282	234.9137	581.5061	104.2523	156.8177	
age(root)	1876.6097	45.538	1883.6796	1788.0863	1952.3718	581.5061	1866.1823	1918.7477	
treeLength	1979.5012	343.0854	1946.0884	1348.3837	2658.4579	440.894	1651.3363	2104.6088	
tmrca(ingroup)	146.3903	45.538	139.3204	70.6282	234.9137	581.5061	104.2523	156.8177	
age(ingroup)	1876.6097	45.538	1883.6796	1788.0863	1952.3718	581.5061	1866.1823	1918.7477	
demographic.populationSizeChanges	2.8456	0.7528	3	2	4	1010.1647	3	3	
demographic.populationMean	89.2647	71.1873	70.6912	10.8637	211.2578	535.7725	28.26	78.6103	
demographic.popSize1	85.2005	114.8977	45.4988	1.0336	320.5533	493.1303	1.644	45.7638	
demographic.popSize2	88.0972	127.8285	47.5451	2.1554E-3	301.3839	1905.3963	2.1554E-3	47.5451	
demographic.popSize3	88.6518	137.5161	46.444	1.2052E-3	308.7633	1709.8276	1.8505E-3	46.444	
demographic.popSize4	88.682	139.881	46.3798	4.7558E-3	311.2622	1733.5871	8.0617E-3	46.3802	
demographic.popSize5	88.5161	135.117	46.4741	1.7651E-4	308.0057	1750.5227	3.0032E-3	46.4749	
demographic.popSize6	86.8098	131.7928	44.6426	7.2801E-5	310.0008	1689.7037	7.2801E-5	44.6426	
demographic.popSize7	86.6534	128.1489	45.7014	1.8541E-3	305.9608	1815.7746	1.8541E-3	45.7014	
demographic.popSize8	86.5331	134.0529	44.7784	3.4E-3	303.1427	1588.3688	3.4E-3	44.7784	
demographic.popSize9	83.9251	128.841	43.6273	2.9758E-4	298.098	1635.0643	2.9758E-4	43.6273	
demographic.popSize10	82.5962	126.9841	42.9973	7.1644E-3	288.8751	1821.2148	0.0101	43.0008	
demographic.popSize11	82.4379	132.1786	41.3498	3.3096E-3	292.8476	1597.7314	3.3096E-3	41.3498	
demographic.popSize12	89.378	134.4215	46.9609	1.0958E-3	310.7934	1638.0867	0.0209	46.9684	
demographic.popSize13	84.4567	127.994	43.4075	1.0233E-3	302.2553	1674.3736	0.0384	43.4337	
demographic.popSize14	86.616	130.4553	45.0803	5.0136E-3	307.2394	1693.6555	5.2901E-3	45.0803	
