burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-14524.4834	141.6712	-14513.2968	-14818.0557	-14264.7206	252.2469	-14592.4417	-14407.816	
prior	-6916.4451	141.635	-6905.3628	-7211.255	-6660.4044	249.8374	-6984.6097	-6800.111	
likelihood	-7608.0383	17.5092	-7608.2667	-7642.2297	-7573.2572	698.8507	-7620.427	-7597.0746	
treeModel.rootHeight	137.0282	45.1154	130.5519	60.6977	227.1126	282.0782	92.3743	148.0553	
age(root)	1885.9718	45.1154	1892.4481	1795.8874	1962.3023	282.0782	1874.9447	1930.6257	
treeLength	1746.999	317.1405	1722.4177	1165.5513	2388.9297	217.0866	1456.3421	1883.7982	
tmrca(ingroup)	137.0282	45.1154	130.5519	60.6977	227.1126	282.0782	92.3743	148.0553	
age(ingroup)	1885.9718	45.1154	1892.4481	1795.8874	1962.3023	282.0782	1874.9447	1930.6257	
demographic.populationSizeChanges	2.7083	0.774	3	2	4	425.1145	2	3	
demographic.populationMean	64.1754	52.6971	48.7358	10.2178	163.2553	262.8492	18.9886	53.1477	
demographic.popSize1	46.755	71.5407	23.5966	0.0167	164.1362	299.5599	1.4827	24.6253	
demographic.popSize2	64.2651	96.1205	33.1327	3.4252E-3	226.1652	802.8501	9.2162E-3	33.1382	
demographic.popSize3	64.5886	102.3275	33.2707	0.0136	227.9045	765.2596	0.0136	33.2707	
demographic.popSize4	61.2451	96.369	30.042	7.8559E-3	218.3495	822.2266	1.6377E-3	30.042	
demographic.popSize5	64.9332	106.1002	33.2895	8.8546E-4	227.6343	820.2989	8.8546E-4	33.2895	
demographic.popSize6	63.304	98.457	32.2795	3.724E-3	223.885	859.2145	0.0131	32.2819	
demographic.popSize7	62.1341	101.4767	29.7387	1.4266E-3	229.3871	735.8284	1.4266E-3	29.7387	
demographic.popSize8	58.7108	94.5173	29.1229	3.7482E-3	209.0333	763.9203	2.1706E-3	29.1229	
demographic.popSize9	63.3995	96.4076	32.5852	3.8189E-4	222.7697	861.6345	3.8189E-4	32.5852	
demographic.popSize10	60.4391	94.8735	30.3062	1.475E-3	218.6425	864.0192	1.475E-3	30.3062	
demographic.popSize11	56.1346	86.9972	27.6662	4.6906E-4	206.453	848.6404	0.0123	27.6705	
demographic.popSize12	63.349	100.8261	32.3059	1.7589E-3	221.4742	810.7075	0.041	32.3281	
demographic.popSize13	63.1756	97.2047	32.3008	2.5966E-3	224.4368	797.2317	2.5966E-3	32.3008	
demographic.popSize14	62.0739	95.5714	31.9502	6.0549E-3	221.7041	821.6799	6.0549E-3	31.9514	
demographic.popSize15	60.7023	97.8303	29.5843	1.4305E-3	218.3395	826.3302	6.9781E-3	29.5881	
demographic.popSize16	62.624	100.4436	31.0234	8.6667E-3	228.1801	757.8165	6.8177E-3	31.0234	
demographic.popSize17	60.9894	96.9863	29.0479	2.9489E-3	229.2892	772.5731	0.044	29.074	
demographic.popSize18	56.0499	90.6163	26.9182	3.7148E-3	203.1308	764.3852	0.0108	26.9197	
demographic.popSize19	58.9633	96.007	29.2429	6.0291E-6	216.6872	821.1849	3.2243E-3	29.2431	
demographic.popSize20	61.9973	100.3148	30.7455	6.8228E-3	223.862	838.4913	6.2227E-3	30.7455	
demographic.popSize21	63.5327	99.883	32.7701	2.3066E-3	218.6323	864.9714	1.3853E-3	32.7701	
demographic.popSize22	64.8707	105.2434	33.5697	8.9562E-4	221.6774	800.3133	6.7235E-3	33.5732	
