burnIn   <= 0,   maxState  = 150000200
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-15033.3795	158.7048	-15024.8573	-15353.2194	-14726.1438	467.313	-15110.207	-14903.2664	
prior	-7264.0159	157.694	-7255.2832	-7582.456	-6957.82	463.1495	-7345.0416	-7141.06	
likelihood	-7769.3636	18.7232	-7769.2982	-7806.0744	-7732.7009	1447.8781	-7782.1325	-7756.9757	
treeModel.rootHeight	69.0149	14.8107	67.3879	42.6364	96.8378	552.4774	56.6167	74.5677	
age(root)	1953.9851	14.8107	1955.6121	1926.1622	1980.3636	552.4774	1948.4323	1966.3833	
treeLength	1894.2674	317.463	1889.1094	1273.9543	2482.4301	407.0713	1667.9765	2097.3002	
tmrca(ingroup)	69.0149	14.8107	67.3879	42.6364	96.8378	552.4774	56.6167	74.5677	
age(ingroup)	1953.9851	14.8107	1955.6121	1926.1622	1980.3636	552.4774	1948.4323	1966.3833	
demographic.populationSizeChanges	3.383	0.6283	3	3	5	1587.7245	3	3	
demographic.populationMean	205.6045	199.0148	145.895	25.1012	570.6558	488.3774	53.3731	160.5604	
demographic.popSize1	201.4799	332.2809	109.6107	0.0307	685.6467	525.6351	1.169	110.4806	
demographic.popSize2	203.2137	345.296	100.3018	3.6433E-3	718.9526	1454.6383	3.6433E-3	100.3018	
demographic.popSize3	196.2288	335.4614	94.6513	0.0163	713.0632	1377.5807	0.0163	94.6513	
demographic.popSize4	204.0699	343.7199	97.1993	7.6922E-3	733.5	1351.3919	7.6922E-3	97.1993	
demographic.popSize5	203.889	343.4187	99.2826	1.8433E-3	728.4255	1384.1735	0.0248	99.2847	
demographic.popSize6	190.4609	317.8259	91.343	1.1154E-3	690.7715	1440.1812	1.1154E-3	91.343	
demographic.popSize7	188.4246	320.9649	88.2731	3.7198E-3	691.712	1327.44	0.016	88.2741	
demographic.popSize8	197.5045	349.3628	93.8346	8.1439E-4	707.759	1378.0674	5.98E-3	93.8394	
demographic.popSize9	198.012	351.0598	92.3456	9.3898E-3	722.3496	1403.3998	4.5664E-3	92.3456	
demographic.popSize10	198.0051	343.0515	90.5672	2.023E-3	728.5548	1360.4833	9.7261E-4	90.5672	
demographic.popSize11	193.8491	312.6981	94.0941	7.6199E-4	706.6622	1462.2905	6.9944E-3	94.0941	
demographic.popSize12	196.8512	359.9843	94.042	9.1533E-6	705.0975	1415.1291	2.1816E-3	94.042	
demographic.popSize13	193.7649	326.4454	92.8388	7.5451E-4	707.793	1331.1079	0.0127	92.8414	
demographic.popSize14	190.0134	327.0923	85.6738	4.4934E-4	707.0325	1340.3548	4.4934E-4	85.6738	
demographic.popSize15	199.0748	366.7556	91.8934	7.9867E-3	719.2347	1370.7838	5.37E-3	91.8934	
demographic.popSize16	190.7242	342.3439	85.8709	2.9191E-3	711.7201	1292.0247	2.9736E-3	85.8709	
demographic.popSize17	191.5859	338.0663	87.5732	0.0108	701.6986	1372.8114	0.0108	87.5812	
demographic.popSize18	187.6555	338.1964	83.8357	4.3567E-3	696.7419	1369.3666	0.0387	83.8459	
demographic.popSize19	194.972	333.0847	89.2597	2.9529E-3	725.8652	1308.2662	1.2302E-3	89.2597	
demographic.popSize20	198.7399	340.7995	94.1006	6.8307E-3	711.6456	1432.0886	0.0238	94.1051	
demographic.popSize21	202.3437	359.1521	94.5427	5.6747E-3	736.2353	1402.519	3.2331E-3	94.5427	
demographic.popSize22	197.4165	345.0827	92.8179	9.7032E-3	704.7361	1433.8933	7.4317E-3	92.8179	
demographic.popSize23	199.0359	336.0248	94.107	5.8832E-3	732.6522	1364.3936	0.0229	94.1094	
demographic.popSize24	204.872	360.8857	99.4051	1.113E-3	731.3652	1463.0518	1.113E-3	99.4051	
demographic.popSize25	202.5535	342.4799	97.1049	2.0596E-3	733.5672	1393.9682	2.8359E-3	97.1049	
demographic.popSize26	209.5414	365.4558	99.9399	2.9309E-4	742.5306	1439.0132	1.7087E-3	99.941	
demographic.popSize27	208.4106	353.087	101.2402	3.333E-3	735.3503	1319.7646	3.333E-3	101.2402	
demographic.popSize28	207.7171	364.0279	99.5205	0.0169	743.3107	1370.6991	0.0169	99.5205	
demographic.popSize29	206.1214	342.1842	99.2698	4.151E-3	742.2622	1376.9954	0.025	99.2726	
demographic.popSize30	207.4178	347.7293	100.0361	2.413E-3	754.2584	1403.2458	0.0441	100.0669	
demographic.popSize31	204.7883	348.3303	99.0785	3.5417E-3	746.2187	1449.7433	3.5417E-3	99.0785	
demographic.popSize32	206.1065	341.2982	100.6025	2.7133E-3	740.0274	1362.4022	4.9749E-3	100.6025	
demographic.popSize33	203.621	333.6092	99.7042	6.0424E-4	740.8368	1444.0824	1.9807E-3	99.7042	
demographic.popSize34	207.7879	357.7861	100.0443	5.6449E-4	739.4639	1413.4493	5.6449E-4	100.0443	
demographic.popSize35	206.0533	345.0067	100.409	4.1374E-3	738.1239	1441.2606	8.134E-3	100.409	
demographic.popSize36	207.2505	345.3797	102.2056	5.3869E-4	738.8899	1362.2111	8.9141E-3	102.206	
demographic.popSize37	210.1543	355.5266	101.2246	5.0393E-3	761.2303	1419.6502	0.0203	101.2357	
demographic.popSize38	205.4089	343.6496	99.0174	3.9605E-4	730.5734	1412.8151	3.9605E-4	99.0174	
demographic.popSize39	207.7772	336.5419	102.2256	2.0876E-3	742.4719	1406.5649	2.0876E-3	102.2256	
demographic.popSize40	205.3603	342.3857	101.1428	0.0148	735.0872	1452.8066	0.0148	101.1428	
demographic.popSize41	205.6322	348.494	100.3872	5.2209E-3	727.5	1376.3642	0.0187	100.3958	
demographic.popSize42	205.7489	350.5468	99.5062	1.3156E-3	747.2695	1377.8875	0.0311	99.5204	
demographic.popSize43	203.4815	333.1731	102.3083	6.5278E-3	711.1251	1459.0469	7.5843E-3	102.3083	
demographic.popSize44	207.6819	358.9102	100.0424	2.0289E-4	745.0076	1352.479	2.0289E-4	100.0424	
demographic.popSize45	208.7638	353.5158	102.1144	1.3397E-3	743.8286	1389.8611	1.3397E-3	102.1144	
demographic.popSize46	206.5232	357.0309	101.5106	8.2763E-4	724.4196	1373.0227	0.0139	101.5179	
demographic.popSize47	209.5859	353.9564	102.6995	0.0125	750.1968	1361.723	0.0213	102.7001	
demographic.popSize48	207.6161	351.6417	101.6853	1.5824E-3	730.2954	1419.206	0.0152	101.6871	
demographic.popSize49	211.9641	351.8216	102.0516	8.7794E-3	770.5161	1253.233	4.133E-3	102.0516	
demographic.popSize50	209.3635	368.6191	100.9099	5.6101E-3	734.3927	1391.4068	5.6101E-3	100.9099	
demographic.popSize51	214.8102	351.8895	104.4501	6.8753E-3	781.362	1347.3356	9.664E-3	104.4501	
demographic.popSize52	204.6029	332.2066	100.8764	8.2715E-3	732.3149	1329.4645	2.9423E-3	100.8764	
demographic.popSize53	213.5238	368.2903	102.9356	2.2273E-3	765.5641	1411.3979	6.4166E-3	102.9356	
demographic.popSize54	206.0817	326.3327	102.3187	7.5276E-3	737.2698	1369.1176	7.5276E-3	102.3187	
demographic.popSize55	207.2347	347.6681	102.0793	0.0114	724.9491	1409.312	0.0143	102.0809	
demographic.popSize56	205.6855	335.4983	101.2405	3.6839E-3	756.112	1411.7359	3.6839E-3	101.2405	
demographic.popSize57	213.8107	360.8489	104.0951	9.0571E-3	757.5161	1365.7106	2.8761E-3	104.0951	
demographic.popSize58	207.9534	350.2534	103.0665	7.6291E-4	745.9486	1340.0367	7.6291E-4	103.0665	
demographic.popSize59	209.8945	342.7235	103.906	3.4303E-3	734.0491	1389.1118	3.4303E-3	103.906	
demographic.popSize60	210.2656	344.7867	102.4346	6.7744E-3	748.4577	1348.3495	0.0145	102.4422	
demographic.popSize61	209.3222	358.1658	101.8148	1.7841E-3	729.0798	1339.5203	0.0377	101.8235	
demographic.popSize62	209.9165	338.8287	105.2931	0.0155	754.2173	1373.1206	0.0247	105.3	
demographic.popSize63	211.1432	348.1627	104.8308	5.5749E-3	740.2069	1418.1233	5.5749E-3	104.8308	
demographic.popSize64	207.2057	342.2427	102.7751	4.2246E-3	728.6093	1467.5904	5.3181E-3	102.7751	
demographic.popSize65	213.2231	332.0356	105.9099	0.0247	736.6025	1370.6296	0.0247	105.9099	
demographic.popSize66	211.7135	371.1297	102.6201	5.3103E-3	740.0361	1391.1032	0.0322	102.6201	
demographic.popSize67	204.1418	334.8921	101.2396	1.0429E-3	712.9779	1430.0959	3.1549E-3	101.2396	
demographic.popSize68	208.6893	344.5186	102.7116	1.9661E-3	731.3655	1439.2303	1.9661E-3	102.7116	
demographic.popSize69	211.5627	375.6559	102.824	7.2003E-3	738.3106	1385.719	7.2003E-3	102.824	
demographic.popSize70	207.9023	331.637	103.0984	0.0493	746.7179	1337.6689	0.0118	103.1041	
demographic.popSize71	205.153	346.1392	102.2515	2.2768E-3	737.6257	1410.1694	0.0136	102.2556	
demographic.popSize72	215.1309	351.9136	105.0798	6.6588E-3	801.5753	1321.1029	0.0212	105.0931	
demographic.popSize73	211.9354	348.4714	101.6198	0.0368	772.2082	1305.8574	4.9674E-3	101.6198	
demographic.popSize74	207.3828	353.6299	102.1792	2.0475E-3	728.6697	1400.2087	2.0475E-3	102.1792	
demographic.popSize75	206.4375	352.8073	102.4464	1.79E-3	720.6427	1344.3354	1.79E-3	102.4464	
demographic.popSize76	209.7872	373.2942	100.9499	5.8682E-3	747.3888	1375.1092	0.0119	100.9499	
demographic.popSize77	214.0162	359.4054	103.6921	3.2976E-3	766.1281	1334.2811	4.304E-3	103.6921	
demographic.popSize78	207.5761	334.3028	103.07	1.9235E-4	752.7946	1471.3239	0.0107	103.0761	
demographic.popSize79	213.5737	349.6485	104.0977	1.6533E-3	741.0866	1337.7242	5.7152E-3	104.0977	
demographic.popSize80	209.3166	357.0552	100.707	3.6357E-3	726.4828	1467.0034	0.0617	100.7673	
demographic.popSize81	205.8521	342.0172	101.2443	4.8829E-3	723.9072	1509.7845	4.8829E-3	101.2443	
demographic.popSize82	204.6685	334.1371	101.1319	0.011	719.5021	1430.0566	6.2239E-3	101.1319	
demographic.popSize83	204.8338	327.3355	101.302	3.2948E-3	739.2466	1408.0377	0.012	101.302	
demographic.popSize84	211.7939	356.3226	104.1557	9.6637E-3	753.9325	1386.3277	9.6637E-3	104.1557	
demographic.popSize85	207.0907	330.9783	104.6298	0.027	736.9616	1426.8911	5.6689E-5	104.6298	
demographic.popSize86	205.8884	338.0167	100.8515	2.9301E-3	725.082	1429.5461	7.0705E-3	100.8515	
demographic.popSize87	211.7839	356.3329	104.4673	0.0309	744.0982	1325.59	0.0187	104.4673	
demographic.popSize88	211.8854	356.6979	102.91	3.6494E-3	733.5979	1286.4987	0.0174	102.91	
demographic.popSize89	203.7746	343.159	100.7912	3.0417E-3	724.4516	1447.2058	3.0417E-3	100.7912	
demographic.popSize90	211.3211	352.4409	102.4891	5.7138E-3	756.6268	1278.6055	7.8058E-3	102.4891	
demographic.popSize91	207.4106	339.167	101.6969	5.5633E-3	735.5022	1428.6061	5.5633E-3	101.6969	
