burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-15770.5799	174.8013	-15766.547	-16129.6337	-15431.9424	220.6681	-15861.0527	-15629.916	
prior	-7495.2651	177.44	-7492.356	-7865.1908	-7154.3869	217.9003	-7600.3176	-7365.0607	
likelihood	-8275.3148	18.5707	-8275.213	-8311.3555	-8238.7969	749.5746	-8287.5203	-8262.5129	
treeModel.rootHeight	100.6631	25.855	95.3419	62.8506	153.998	263.5192	75.4843	102.2473	
age(root)	1922.3369	25.855	1927.6581	1869.002	1960.1494	263.5192	1920.7527	1947.5157	
treeLength	3025.5399	646.5629	2933.2216	1932.8286	4339.9559	198.5762	2419.1103	3206.7513	
tmrca(ingroup)	100.6631	25.855	95.3419	62.8506	153.998	263.5192	75.4843	102.2473	
age(ingroup)	1922.3369	25.855	1927.6581	1869.002	1960.1494	263.5192	1920.7527	1947.5157	
demographic.populationSizeChanges	3.4782	0.6654	3	3	5	547.3485	3	3	
demographic.populationMean	475.8842	455.9114	331.6882	18.4522	1371.5011	245.2251	97.8532	377.4676	
demographic.popSize1	329.1119	268.747	284.4796	7.3859	808.0227	264.4353	28.6527	303.3956	
demographic.popSize2	476.8319	807.9946	218.7713	0.0156	1769.8806	741.1747	0.0156	218.7713	
demographic.popSize3	466.933	816.916	211.9584	0.0468	1723.2194	768.1602	0.0281	211.9584	
demographic.popSize4	472.8939	784.8432	220.7219	1.0894E-3	1761.7828	744.451	1.0894E-3	220.7219	
demographic.popSize5	477.5829	777.1563	220.663	4.5245E-3	1777.8713	731.2422	0.0311	220.6756	
demographic.popSize6	460.5951	790.5656	203.0874	1.4809E-3	1741.778	668.9849	1.4809E-3	203.0874	
demographic.popSize7	474.4159	774.2425	218.7934	2.7519E-4	1834.7981	675.16	2.7519E-4	218.7934	
demographic.popSize8	482.9365	827.3765	227.9906	0.0186	1778.4119	739.5112	0.0215	227.9906	
demographic.popSize9	462.6879	787.7701	216.5956	0.0345	1705.4578	720.3482	0.1247	216.6784	
demographic.popSize10	471.3615	815.8826	213.1681	0.0197	1781.6033	722.1038	0.1081	213.1961	
demographic.popSize11	465.4874	803.0931	206.2322	2.2859E-3	1783.975	704.435	2.2859E-3	206.2322	
demographic.popSize12	476.963	790.8553	220.3036	0.0491	1784.8047	686.0439	0.0324	220.3036	
demographic.popSize13	307.911	620.5687	91.2084	0.0303	1291.7788	610.3881	0.0303	91.2084	
demographic.popSize14	292.9259	679.5024	74.8492	0.0286	1259.1738	586.055	0.1175	74.8928	
demographic.popSize15	472.3781	775.7116	218.1804	0.0173	1794.4696	715.4506	2.546E-3	218.1804	
demographic.popSize16	472.9926	766.9984	219.7752	9.1737E-3	1756.325	695.5982	9.1737E-3	219.7752	
