burnIn   <= 0,   maxState  = 150000200
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-14114.7738	162.6632	-14109.5975	-14440.952	-13803.414	467.3263	-14210.3749	-13990.9937	
prior	-6983.3221	162.1343	-6978.2013	-7309.4572	-6671.7887	463.3448	-7076.5753	-6858.9371	
likelihood	-7131.4517	18.6004	-7131.7634	-7167.3087	-7094.5723	1160.6763	-7144.7813	-7119.7033	
treeModel.rootHeight	173.0531	56.688	161.6897	84.9306	286.385	564.7801	113.375	176.0554	
age(root)	1848.9469	56.688	1860.3103	1735.615	1937.0694	564.7801	1845.9446	1908.625	
treeLength	2064.2805	452.583	1981.8769	1273.4744	2978.7845	420.0957	1641.1323	2133.1126	
tmrca(ingroup)	173.0531	56.688	161.6897	84.9306	286.385	564.7801	113.375	176.0554	
age(ingroup)	1848.9469	56.688	1860.3103	1735.615	1937.0694	564.7801	1845.9446	1908.625	
demographic.populationSizeChanges	2.28	0.5402	2	2	3	2824.2916	2	2	
demographic.populationMean	89.1239	83.9995	64.5385	10.2661	241.0812	498.2329	21.0293	69.9473	
demographic.popSize1	110.8329	144.4238	61.8896	0.0503	357.4511	535.4222	0.6218	62.1697	
demographic.popSize2	89.9626	150.3271	43.761	3.4055E-3	321.8815	1422.7719	9.505E-3	43.7643	
demographic.popSize3	85.7603	147.2918	40.0053	6.6752E-4	315.6623	1372.6425	6.6752E-4	40.0053	
demographic.popSize4	84.8157	141.8447	40.2131	1.8006E-3	312.0336	1458.5361	1.8006E-3	40.2131	
demographic.popSize5	87.4559	145.831	41.8289	1.3133E-3	315.6062	1463.8845	1.3133E-3	41.8289	
demographic.popSize6	80.8834	139.2533	38.3956	1.5989E-4	294.9476	1502.1978	1.5989E-4	38.3956	
demographic.popSize7	85.542	145.2159	40.3721	2.6717E-3	308.3889	1457.3488	0.0111	40.3725	
demographic.popSize8	85.3013	140.7583	40.1588	1.321E-5	312.3099	1429.0541	1.3397E-3	40.1588	
demographic.popSize9	88.4006	147.8265	42.8912	6.0915E-3	313.8421	1555.6237	8.6127E-3	42.8921	
demographic.popSize10	86.309	148.9432	40.9246	1.0389E-3	318.8721	1483.2159	2.3566E-3	40.9254	
demographic.popSize11	82.491	135.9643	38.4946	2.7606E-3	308.6944	1416.2628	1.0069E-4	38.4946	
demographic.popSize12	83.8559	146.2967	38.6313	9.2199E-4	305.6509	1431.6393	9.2199E-4	38.6313	
demographic.popSize13	86.6638	146.2913	41.1732	9.7942E-4	316.0838	1349.8168	5.5253E-3	41.175	
demographic.popSize14	68.7723	127.3719	28.8233	3.2677E-3	262.5837	1283.6002	1.0039E-3	28.8233	
demographic.popSize15	87.5641	151.6555	41.1441	3.4846E-3	319.3495	1438.7382	6.1439E-5	41.1441	
demographic.popSize16	85.9747	143.3342	41.0609	2.2932E-3	313.1221	1408.1636	2.2932E-3	41.0609	
demographic.popSize17	87.6832	148.4729	40.9278	2.2864E-3	322.0904	1421.0394	2.2864E-3	40.9278	
demographic.popSize18	87.4644	145.9937	42.6061	1.9381E-3	308.6245	1444.1453	1.9381E-3	42.6061	
demographic.popSize19	86.9715	146.8055	41.6416	2.5954E-3	312.157	1385.962	2.5954E-3	41.6416	
demographic.popSize20	83.1764	151.6291	36.8303	3.2008E-3	311.3045	1285.5799	2.612E-3	36.8303	
demographic.popSize21	85.9473	150.1859	38.8532	5.4379E-3	313.7529	1295.4485	0.0155	38.8605	
demographic.popSize22	88.093	143.7639	42.4884	2.0963E-3	319.401	1502.9434	7.2698E-3	42.489	
demographic.popSize23	84.5931	144.5399	39.8069	1.416E-3	311.42	1440.9212	0.0148	39.8146	
demographic.popSize24	88.9399	147.4219	42.3299	3.0521E-3	325.8202	1422.422	3.9969E-5	42.3299	
demographic.popSize25	88.9005	149.4068	42.3299	3.6295E-3	325.7718	1409.7277	3.6295E-3	42.3299	
demographic.popSize26	88.5111	152.2804	42.1459	1.1499E-3	317.2186	1532.0785	1.5544E-3	42.1459	
demographic.popSize27	88.702	150.1766	43.4188	5.1035E-3	316.6092	1515.7876	4.6014E-3	43.4188	
demographic.popSize28	88.3707	147.452	42.1995	2.1613E-4	323.764	1381.656	2.1613E-4	42.1995	
demographic.popSize29	87.9796	146.3763	42.4179	2.6156E-3	320.1348	1360.1817	5.951E-3	42.4209	
demographic.popSize30	88.0537	151.0324	43.191	3.746E-3	321.197	1573.5027	1.3838E-3	43.191	
demographic.popSize31	87.5313	142.6393	43.774	1.1472E-3	311.3115	1540.6612	1.1472E-3	43.774	
