burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-14116.3991	164.3292	-14120.6629	-14443.6415	-13804.0206	232.4311	-14250.0463	-14024.9452	
prior	-6985.0116	164.109	-6989.3523	-7311.5513	-6671.0616	229.8877	-7114.0069	-6888.7873	
likelihood	-7131.3875	18.6629	-7131.7176	-7167.6618	-7094.7162	560.3935	-7144.5633	-7119.4996	
treeModel.rootHeight	184.774	60.702	172.8837	90.3407	307.2559	279.3087	122.3775	191.1199	
age(root)	1837.226	60.702	1849.1163	1714.7441	1931.6593	279.3087	1830.8801	1899.6225	
treeLength	2182.9522	502.5173	2072.9077	1389.2004	3246.4254	208.1524	1654.7195	2189.9001	
tmrca(ingroup)	184.774	60.702	172.8837	90.3407	307.2559	279.3087	122.3775	191.1199	
age(ingroup)	1837.226	60.702	1849.1163	1714.7441	1931.6593	279.3087	1830.8801	1899.6225	
demographic.populationSizeChanges	2.2691	0.5292	2	2	3	1389.0444	2	2	
demographic.populationMean	83.3535	68.6373	64.1238	9.7763	221.2026	253.9855	20.3699	69.6954	
demographic.popSize1	108.3914	144.3201	64.2312	0.2058	357.4511	275.8243	0.6697	64.3078	
demographic.popSize2	83.8814	124.3262	42.7065	6.0176E-3	302.7897	815.4535	0.0216	42.709	
demographic.popSize3	75.6624	116.9989	35.7324	2.8934E-3	283.8112	784.878	6.9673E-3	35.7346	
demographic.popSize4	79.2537	126.1676	38.5883	0.01	289.0844	798.264	0.0269	38.5981	
demographic.popSize5	82.9443	129.7683	40.3333	2.5444E-3	299.161	826.6747	8.7555E-3	40.336	
demographic.popSize6	79.3907	124.041	39.1377	7.8929E-4	291.8607	748.089	2.6718E-3	39.1379	
demographic.popSize7	77.9788	123.5689	37.6403	9.072E-3	282.0441	803.4451	9.072E-3	37.6403	
demographic.popSize8	80.091	119.2389	40.107	1.321E-5	289.7985	860.0248	1.321E-5	40.107	
demographic.popSize9	83.2094	129.0134	42.0078	0.0191	292.2707	924.9613	6.0915E-3	42.0078	
demographic.popSize10	80.7705	128.5918	38.9131	4.3952E-3	301.116	779.1463	6.7698E-3	38.9136	
demographic.popSize11	77.089	122.088	36.2859	1.0069E-4	290.9445	741.8486	1.0069E-4	36.2859	
demographic.popSize12	73.6083	117.0094	34.4207	9.2199E-4	281.6749	769.1816	1.8932E-3	34.4207	
demographic.popSize13	78.1263	118.9356	38.3474	9.7942E-4	285.5656	814.0969	9.7942E-4	38.3474	
