burnIn   <= 0,   maxState  = 150000200
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-15538.4397	151.9304	-15535.3159	-15837.0802	-15241.9551	464.5171	-15647.0154	-15441.1301	
prior	-7336.5329	152.5848	-7336.3781	-7635.4889	-7038.7583	459.7955	-7447.4593	-7240.5016	
likelihood	-8201.9069	18.9791	-8201.6159	-8239.2083	-8164.7846	1192.6455	-8213.8605	-8188.283	
treeModel.rootHeight	92.7707	28.9392	86.2972	48.3727	150.7864	501.6875	62.945	94.6477	
age(root)	1930.2293	28.9392	1936.7028	1872.2136	1974.6273	501.6875	1928.3523	1960.055	
treeLength	2234.6553	358.5142	2229.922	1575.4051	2921.1839	411.6565	2005.4906	2524.972	
tmrca(ingroup)	92.7707	28.9392	86.2972	48.3727	150.7864	501.6875	62.945	94.6477	
age(ingroup)	1930.2293	28.9392	1936.7028	1872.2136	1974.6273	501.6875	1928.3523	1960.055	
demographic.populationSizeChanges	3.4316	0.6371	3	3	5	1523.7179	3	3	
demographic.populationMean	267.6631	241.8101	196.2508	26.6987	691.6908	484.2814	63.2415	212.6216	
demographic.popSize1	213.0558	207.4204	157.4138	0.7494	599.774	500.0621	3.4644	158.9902	
demographic.popSize2	268.5459	436.4935	131.5335	3.5123E-3	974.3176	1447.0715	6.8E-4	131.5335	
demographic.popSize3	269.8368	464.1802	134.2406	5.7326E-3	968.9201	1508.0279	0.0705	134.2946	
demographic.popSize4	267.1496	431.6015	130.5105	0.0119	977.2305	1466.5411	9.8269E-3	130.5105	
demographic.popSize5	269.0118	441.2239	132.6841	8.9366E-3	970.6505	1473.4905	0.0379	132.7109	
demographic.popSize6	266.1649	426.4629	134.1075	7.3031E-4	933.5815	1431.8798	3.7344E-3	134.1075	
demographic.popSize7	257.6895	423.7311	123.9344	5.199E-4	946.2136	1436.8623	0.039	123.9706	
demographic.popSize8	260.9691	429.1354	127.2428	7.7948E-3	927.7681	1513.1258	7.7948E-3	127.2428	
demographic.popSize9	267.1072	447.1602	130.1445	8.2716E-3	961.3162	1412.7182	5.692E-3	130.1445	
demographic.popSize10	268.998	442.2042	130.0671	4.2577E-3	986.9174	1412.1164	4.2577E-3	130.0671	
demographic.popSize11	246.0102	400.7474	119.1185	6.2113E-3	890.2542	1450.3269	0.0315	119.1337	
demographic.popSize12	262.1658	430.8226	127.9059	3.8265E-3	936.6886	1452.169	1.7212E-3	127.9059	
demographic.popSize13	264.9914	447.1552	129.7739	4.8301E-3	942.2307	1487.3402	8.3215E-3	129.775	
demographic.popSize14	259.2049	437.7628	124.8318	5.3331E-3	939.336	1502.1678	5.3331E-3	124.8358	
demographic.popSize15	256.1405	430.4917	121.4277	1.1401E-3	929.2072	1399.2162	0.0347	121.4524	
demographic.popSize16	235.5246	428.9976	99.0023	0.0128	912.7141	1252.7384	0.0438	99.0218	
demographic.popSize17	209.2176	369.1835	90.5006	0.0176	805.4004	1357.6355	0.0176	90.5006	
demographic.popSize18	264.391	438.9014	126.8709	0.0318	952.0573	1418.2896	0.0418	126.8709	
demographic.popSize19	219.5879	397.6123	92.7801	2.3E-3	845.2556	1280.3856	0.071	92.7973	
demographic.popSize20	261.2721	439.4436	124.4113	2.795E-3	948.3015	1387.8115	3.1694E-3	124.4115	
demographic.popSize21	238.1382	444.6646	104.0567	6.212E-3	886.1061	1244.3792	6.212E-3	104.0567	
demographic.popSize22	259.1708	449.488	123.1878	4.1053E-3	938.1973	1359.67	4.1053E-3	123.1878	
demographic.popSize23	260.5084	424.0777	127.2384	5.8117E-3	943.7592	1450.11	5.8117E-3	127.2384	
demographic.popSize24	266.6579	436.3171	131.6407	1.801E-3	953.9506	1478.6271	0.0233	131.6466	
demographic.popSize25	265.7557	440.1537	133.5181	1.3566E-3	935.2435	1370.5949	1.3566E-3	133.5181	
demographic.popSize26	269.5437	432.8742	134.0693	7.8719E-3	952.9763	1487.8768	0.1616	134.1803	
demographic.popSize27	268.8221	444.3374	135.0765	8.6795E-3	955.425	1423.3512	8.6795E-3	135.0765	
demographic.popSize28	271.7308	449.7112	135.314	0.0115	963.4503	1440.662	0.0584	135.3208	
demographic.popSize29	275.7789	440.5448	140.7372	4.3513E-3	969.7297	1418.8124	4.3513E-3	140.7372	
demographic.popSize30	266.4715	422.085	134.5163	5.7376E-3	955.9286	1443.7017	0.0197	134.5278	
demographic.popSize31	272.3568	439.079	137.1672	2.7501E-4	974.0699	1423.5669	2.3737E-3	137.1672	
demographic.popSize32	268.9252	414.5734	136.55	4.8665E-3	966.8557	1468.6187	4.8665E-3	136.55	
demographic.popSize33	270.9268	428.4726	135.75	1.0241E-4	957.0132	1506.5551	2.7541E-3	135.7509	
demographic.popSize34	270.2732	433.6425	137.2092	0.0268	953.2349	1501.0134	0.0101	137.2092	
demographic.popSize35	264.8577	408.8634	134.2607	3.7089E-3	940.017	1434.0131	0.0581	134.305	
demographic.popSize36	269.058	436.6647	135.4982	0.041	961.7143	1492.5522	0.041	135.5224	
demographic.popSize37	270.8405	432.2716	134.4288	0.012	961.3371	1412.4931	0.0459	134.4451	
demographic.popSize38	271.1576	427.3469	135.6758	1.875E-3	949.657	1525.4927	7.1495E-4	135.6758	
demographic.popSize39	271.8003	427.4831	137.1944	4.3022E-3	972.8268	1443.9713	4.3022E-3	137.1944	
demographic.popSize40	272.847	444.8624	136.1054	1.9548E-3	971.4761	1497.7032	1.9548E-3	136.1054	
demographic.popSize41	270.5526	425.6958	137.24	1.3272E-3	961.9007	1409.8906	8.3394E-3	137.24	
demographic.popSize42	269.6489	426.5586	134.1817	7.8866E-4	960.1699	1416.1165	0.0304	134.211	
demographic.popSize43	271.2906	440.1098	134.4149	0.0101	978.0595	1492.0466	0.0101	134.4149	
demographic.popSize44	271.2944	418.8704	138.0269	7.0903E-3	958.6469	1467.9954	6.9413E-4	138.0269	
demographic.popSize45	267.9186	412.708	134.7679	0.0151	970.7573	1480.1547	0.0269	134.7679	
demographic.popSize46	272.3533	440.5888	137.6531	0.0119	954.4489	1520.6958	0.0169	137.6531	
demographic.popSize47	270.2612	435.7157	137.1534	7.4335E-5	957.8863	1484.733	2.9019E-3	137.1534	
demographic.popSize48	273.7462	427.233	138.6015	3.3672E-3	959.948	1396.6194	3.3672E-3	138.6015	
demographic.popSize49	272.524	445.3748	134.9919	3.2776E-3	971.9005	1444.9618	5.8161E-4	134.9919	
demographic.popSize50	271.8967	447.1202	135.4413	1.6193E-3	957.7135	1481.6964	0.0466	135.4594	
demographic.popSize51	270.8387	451.0479	135.248	1.4196E-3	946.7627	1503.4674	1.4196E-3	135.248	
demographic.popSize52	273.0549	424.6837	135.4309	0.0137	969.5772	1396.83	0.0121	135.4309	
demographic.popSize53	276.3743	452.0578	136.8062	0.0102	983.499	1363.3861	0.0111	136.8062	
demographic.popSize54	266.6376	416.8348	136.2093	1.8512E-3	953.8776	1469.0736	1.8512E-3	136.2093	
demographic.popSize55	274.326	430.0059	137.3227	2.9275E-3	979.182	1373.4078	2.9275E-3	137.3227	
demographic.popSize56	275.3474	428.0485	139.1102	2.8155E-3	1004.2453	1335.2003	2.8155E-3	139.1102	
demographic.popSize57	275.2007	434.8685	137.8121	0.02	966.6212	1399.3539	0.02	137.8121	
demographic.popSize58	268.3901	421.0689	134.9161	6.0919E-3	962.2561	1440.5555	6.0919E-3	134.9176	
demographic.popSize59	270.5012	414.2769	136.3759	2.5744E-3	955.835	1486.4325	2.5744E-3	136.3759	
demographic.popSize60	272.6735	439.3044	136.512	1.033E-3	965.4875	1579.108	0.0115	136.5134	
demographic.popSize61	274.0975	451.6522	134.0189	0.057	1001.4622	1392.9142	0.0711	134.0306	
demographic.popSize62	271.1517	420.4624	135.0624	0.0103	956.7021	1396.5936	0.0412	135.0699	
demographic.popSize63	271.2361	423.7342	138.7251	1.1971E-3	954.6896	1428.9888	1.1971E-3	138.7251	
demographic.popSize64	272.533	438.3604	136.1489	2.9917E-3	946.2804	1505.0691	2.9917E-3	136.1489	
demographic.popSize65	270.8154	433.5683	134.792	1.7932E-3	945.3959	1561.5172	0.0269	134.794	
demographic.popSize66	277.6088	457.343	135.8662	4.8106E-3	992.4011	1443.12	0.0467	135.8921	
demographic.popSize67	271.5152	441.1698	135.6706	0.0181	972.2533	1389.0445	8.2464E-3	135.6706	
demographic.popSize68	273.2512	435.1556	138.2531	0.0173	950.2888	1426.7302	0.0114	138.2531	
