burnIn   <= 25000000,   maxState  = 100000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-14950.9746	128.9149	-14943.6709	-15227.6208	-14707.0753	264.1585	-15018.3905	-14851.3873	
prior	-7517.7992	127.4898	-7511.4724	-7781.5269	-7267.2985	262.9149	-7581.4201	-7416.0553	
likelihood	-7433.1754	17.584	-7432.8729	-7467.3749	-7398.5259	677.2328	-7444.5037	-7420.8477	
treeModel.rootHeight	74.833	17.5947	72.0782	46.269	108.2933	293.5644	58.6486	78.9334	
age(root)	1948.167	17.5947	1950.9218	1914.7067	1976.731	293.5644	1944.0666	1964.3514	
treeLength	2560.1047	303.7825	2549.4386	1947.7882	3178.4885	211.4387	2374.7718	2738.5307	
tmrca(ingroup)	74.833	17.5947	72.0782	46.269	108.2933	293.5644	58.6486	78.9334	
age(ingroup)	1948.167	17.5947	1950.9218	1914.7067	1976.731	293.5644	1944.0666	1964.3514	
demographic.populationSizeChanges	3.3989	0.6094	3	3	5	513.9078	3	3	
demographic.populationMean	609.8475	470.5411	480.442	97.2089	1493.9246	268.1896	218.7269	545.8454	
demographic.popSize1	393.801	475.0936	209.9704	4.665	1410.057	254.8018	23.2003	216.2151	
demographic.popSize2	615.2183	889.5152	329.975	0.0695	2137.4624	845.0932	0.0499	329.9756	
demographic.popSize3	606.5349	927.7331	321.8839	0.022	2080.94	907.2267	0.563	322.3593	
demographic.popSize4	612.4763	934.2164	327.1018	0.0619	2077.7463	964.2046	0.0619	327.1018	
demographic.popSize5	584.484	880.5698	302.6077	0.0129	2048.9307	875.7122	0.0129	302.6077	
demographic.popSize6	614.1115	947.793	330.2257	0.0103	2121.3432	859.6879	0.0946	330.2283	
demographic.popSize7	544.7337	901.9887	269.6453	0.0865	1947.0463	830.2873	0.0865	269.683	
demographic.popSize8	523.7876	874.7792	248.8461	0.0538	1941.3006	679.2643	0.0898	248.8469	
demographic.popSize9	591.7643	948.0558	302.9083	0.0128	2089.4496	838.8788	1.2611	303.8233	
demographic.popSize10	542.7385	879.9794	269.1309	0.0287	1940.8675	734.974	0.5035	269.2958	
demographic.popSize11	582.416	833.696	313.1213	0.0612	2003.3915	923.559	0.0612	313.1213	
demographic.popSize12	453.4663	748.4393	201.459	0.0792	1743.7521	752.2974	0.4602	201.6013	
demographic.popSize13	596.6425	952.3774	309.2897	0.0556	2102.6572	899.7859	0.0556	309.2906	
demographic.popSize14	575.5177	948.5778	285.7221	0.0504	2035.6771	816.9283	0.0504	285.7221	
demographic.popSize15	500.7005	887.5038	222.1238	7.6307E-3	1857.8216	694.1324	7.6307E-3	222.1238	
demographic.popSize16	611.2747	914.3141	321.1863	0.053	2140.0751	910.71	0.021	321.1863	
demographic.popSize17	612.9812	913.1422	324.5266	4.5537E-3	2138.5745	858.1965	0.1217	324.5459	
demographic.popSize18	590.7927	847.4151	318.4783	0.02	2038.9524	906.5031	0.4186	318.678	
demographic.popSize19	606.7768	863.2205	325.4612	0.0232	2085.3293	939.6372	0.0232	325.4612	
demographic.popSize20	601.4544	871.9098	330.0687	0.0615	2048.516	936.8985	0.1134	330.0687	
demographic.popSize21	618.4434	949.9843	327.2764	0.0197	2142.2408	933.8686	0.0222	327.2764	
demographic.popSize22	621.1603	910.9595	328.2618	0.0296	2144.8492	871.5337	0.1055	328.3135	
demographic.popSize23	619.4	930.0455	326.8795	0.0126	2133.8522	839.1867	0.0628	326.8795	
demographic.popSize24	610.9438	879.5861	328.6493	0.0852	2089.3645	952.039	0.1583	328.7206	
demographic.popSize25	604.6648	901.1003	329.4277	0.0134	2083.2314	906.8332	0.0134	329.4277	
demographic.popSize26	620.4013	929.4331	329.9589	0.0488	2156.1061	817.7806	0.2506	330.0744	
demographic.popSize27	618.2282	942.6888	324.0411	5.4114E-3	2181.3483	939.1131	0.3933	324.397	
demographic.popSize28	611.0613	897.1847	330.9812	0.037	2040.8695	958.5502	0.1364	331.0687	
demographic.popSize29	612.6908	850.5378	335.8147	3.4626E-3	2084.2793	892.6074	3.4626E-3	335.8147	
demographic.popSize30	610.9741	862.4915	331.2256	0.0244	2157.5456	838.3298	0.1162	331.2441	
demographic.popSize31	628.2727	953.9494	330.2887	0.0337	2232.5187	692.3044	0.0337	330.2887	
demographic.popSize32	606.6791	888.2683	321.8337	0.0163	2087.8976	948.2146	0.0163	321.8337	
demographic.popSize33	621.6482	911.203	335.4603	0.0481	2157.1725	878.1526	0.0875	335.4714	
demographic.popSize34	625.9219	940.2961	334.9686	0.0331	2204.2645	814.9758	0.1502	335.0247	
demographic.popSize35	615.706	871.5781	341.431	0.186	2123.5588	932.5223	0.0474	341.431	
demographic.popSize36	622.1946	923.358	326.9416	0.0676	2159.3027	923.0277	0.2363	327.0777	
demographic.popSize37	610.3189	908.5679	331.5573	0.0241	2091.5547	957.4194	0.1487	331.5906	
demographic.popSize38	630.6411	906.1322	344.4693	0.043	2181.3197	859.397	0.043	344.4693	
demographic.popSize39	650.4763	964.5649	336.3183	4.1603E-3	2359.4207	717.8244	0.2545	336.3564	
demographic.popSize40	632.7842	923.9491	335.1957	7.4719E-3	2128.828	854.7856	0.2237	335.3059	
demographic.popSize41	681.3285	922.4479	365.0385	0.1352	2307.6517	699.2161	0.0922	365.0385	
demographic.popSize42	650.5273	995.6499	356.5783	0.0191	2086.09	962.2148	0.0191	356.5783	
demographic.popSize43	612.5328	872.8199	333.3798	9.6081E-4	2144.0496	867.196	0.0184	333.3798	
demographic.popSize44	630.0438	874.9821	344.9636	0.4751	2143.684	758.4877	0.063	344.993	
demographic.popSize45	628.0085	869.577	342.0934	0.0266	2169.2454	854.4565	0.0266	342.0934	
demographic.popSize46	633.8741	938.7931	343.4162	0.0381	2128.4801	854.4258	0.0381	343.4162	
demographic.popSize47	645.6591	923.0721	345.8945	0.0241	2159.5003	783.911	0.0241	345.9047	
demographic.popSize48	626.1698	883.6256	330.3744	6.4844E-3	2162.3199	859.5544	6.4844E-3	330.3744	
demographic.popSize49	642.4668	942.0166	352.2613	0.0166	2161.2085	870.813	0.0166	352.2613	
demographic.popSize50	636.6879	943.8155	331.3466	0.5161	2229.3373	866.7203	0.1268	331.4426	
demographic.popSize51	650.9882	915.8045	345.6718	0.3394	2233.232	759.2844	0.1233	345.6934	
demographic.popSize52	650.7575	891.5846	341.6119	0.2094	2207.474	701.985	0.0135	341.6119	
demographic.popSize53	642.1635	906.3462	345.6576	0.1584	2090.7077	802.4517	0.0993	345.6576	
